recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	hibiny.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		hibiny.ru
ok	howto-news.info		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		howto-news.info
ok	images.yandex.ru		0.00	0.00	0.00	0.00	0.00	23.00	AD_NETWORK	Портфолио		images.yandex.ru
ok	inkstory.net		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		inkstory.net
ok	inosmi.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		inosmi.ru
ok	izib.uk		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		izib.uk
ok	kaluga-poisk.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		kaluga-poisk.ru
ok	kapital-rus.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		kapital-rus.ru
ok	kniga-online.com		0.00	0.00	0.00	0.00	0.00	35.00	AD_NETWORK	Портфолио		kniga-online.com
ok	knigavuhe.org		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		knigavuhe.org
ok	knigi-online.org		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		knigi-online.org
ok	knigi.fun		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		knigi.fun
ok	knigkindom.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		knigkindom.ru
ok	knigli.online		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		knigli.online
ok	knigoblud.club		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		knigoblud.club
ok	knigochei.org		0.00	0.00	0.00	0.00	0.00	8.00	AD_NETWORK	Портфолио		knigochei.org
ok	knigochet.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		knigochet.com
